Name,Team,xBA,xSLG,xwOBA,Barrel%,HardHit%,Max EV,xwOBA_vs_R,xwOBA_vs_L,Batting_Order,PA_L14,xwOBA_L14,Hit_Prob_Score,HR_Prob_Score
Mickey Gasper,BOS,0.277,0.356,0.341,6.7,33.6,108.3,0.334,0.324,6,39,0.271,60.8,41.3
Willson Contreras,BOS,0.298,0.547,0.404,9.3,46.3,109.7,0.396,0.384,6,43,0.434,73.0,59.8
Wilyer Abreu,BOS,0.285,0.45,0.353,7.8,38.9,108.9,0.346,0.335,6,48,0.328,68.9,49.8
Alex Bregman,CHC,0.251,0.365,0.346,6.9,34.3,108.5,0.339,0.329,6,53,0.298,66.5,42.3
Carson Kelly,CHC,0.282,0.377,0.37,7.2,36.1,108.6,0.363,0.351,6,30,0.248,55.6,44.1
Dansby Swanson,CHC,0.185,0.328,0.3,6.0,30.1,108.0,0.294,0.285,6,36,0.265,49.8,37.5
Ian Happ,CHC,0.233,0.49,0.359,8.2,41.2,109.1,0.352,0.341,6,48,0.307,62.6,53.3
Michael Busch,CHC,0.257,0.422,0.39,7.9,39.4,109.0,0.382,0.37,6,51,0.407,71.5,48.7
Michael Conforto,CHC,0.242,0.472,0.354,8.0,40.0,109.0,0.347,0.336,6,18,0.182,42.3,51.6
Miguel Amaya,CHC,0.222,0.358,0.366,7.0,34.9,108.5,0.359,0.348,6,17,0.39,50.2,42.3
Moisés Ballesteros,CHC,0.238,0.397,0.319,6.9,34.5,108.5,0.313,0.303,6,26,0.284,51.0,44.0
Nico Hoerner,CHC,0.25,0.353,0.339,6.7,33.4,108.3,0.332,0.322,6,50,0.275,63.8,41.0
Pedro Ramírez,CHC,0.222,0.271,0.323,5.7,28.4,107.8,0.317,0.307,6,18,0.293,45.8,33.5
